split,scan_id,y,n
test,954,0,23
test,954,1,23
test,958,0,24
test,958,1,24
test,972,0,39
test,972,1,39
test,973,0,34
test,973,1,34
test,980,0,16
test,980,1,16
test,984,0,31
test,984,1,31
train,953,0,27
train,953,1,27
train,955,0,20
train,955,1,20
train,956,0,14
train,956,1,14
train,959,0,17
train,959,1,17
train,960,0,13
train,960,1,13
train,963,0,32
train,963,1,32
train,964,0,39
train,964,1,39
train,967,0,18
train,967,1,18
train,969,0,33
train,969,1,33
train,970,0,11
train,970,1,11
train,971,0,20
train,971,1,20
train,975,0,35
train,975,1,35
train,976,0,22
train,976,1,22
train,977,0,17
train,977,1,17
train,979,0,23
train,979,1,23
train,982,0,16
train,982,1,16
train,983,0,22
train,983,1,22
val,957,0,27
val,957,1,27
val,961,0,35
val,961,1,35
val,965,0,20
val,965,1,20
val,966,0,32
val,966,1,32
val,974,0,20
val,974,1,20
