n,patients,auroc,auprc,threshold,tp,fp,fn,tn,recall,fpr,precision,accuracy,accepted,coverage,model,split,target_fpr_budget
268,5,0.9113945199376253,0.8323981031228282,0.9918504179986226,1,0,133,134,0.007462686567164179,0.0,1.0,0.503731343283582,1,0.0037313432835820895,geometry,val,0.0
334,6,0.9366416866865072,0.8773789951190524,0.9918504179986226,0,0,167,167,0.0,0.0,0.0,0.5,0,0.0,geometry,test,0.0
268,5,0.9113945199376253,0.8323981031228282,0.9639639569191426,4,1,130,133,0.029850746268656716,0.007462686567164179,0.8,0.5111940298507462,5,0.018656716417910446,geometry,val,0.01
334,6,0.9366416866865072,0.8773789951190524,0.9639639569191426,6,1,161,166,0.03592814371257485,0.005988023952095809,0.8571428571428571,0.5149700598802395,7,0.020958083832335328,geometry,test,0.01
268,5,0.9113945199376253,0.8323981031228282,0.9627040063617748,6,2,128,132,0.04477611940298507,0.014925373134328358,0.75,0.5149253731343284,8,0.029850746268656716,geometry,val,0.02
334,6,0.9366416866865072,0.8773789951190524,0.9627040063617748,6,1,161,166,0.03592814371257485,0.005988023952095809,0.8571428571428571,0.5149700598802395,7,0.020958083832335328,geometry,test,0.02
268,5,0.9113945199376253,0.8323981031228282,0.9418564612332644,21,6,113,128,0.15671641791044777,0.04477611940298507,0.7777777777777778,0.5559701492537313,27,0.10074626865671642,geometry,val,0.05
334,6,0.9366416866865072,0.8773789951190524,0.9418564612332644,14,3,153,164,0.08383233532934131,0.017964071856287425,0.8235294117647058,0.5329341317365269,17,0.05089820359281437,geometry,test,0.05
268,5,0.9113945199376253,0.8323981031228282,0.8531705959180887,79,13,55,121,0.5895522388059702,0.09701492537313433,0.8586956521739131,0.746268656716418,92,0.34328358208955223,geometry,val,0.1
334,6,0.9366416866865072,0.8773789951190524,0.8531705959180887,91,11,76,156,0.5449101796407185,0.0658682634730539,0.8921568627450981,0.7395209580838323,102,0.30538922155688625,geometry,test,0.1
268,5,0.9631877923813766,0.960460405908728,0.9787454442010008,59,0,75,134,0.44029850746268656,0.0,1.0,0.7201492537313433,59,0.22014925373134328,radial_hu_summary_v1,val,0.0
334,6,0.9440281114417871,0.9488181222518489,0.9787454442010008,66,0,101,167,0.39520958083832336,0.0,1.0,0.6976047904191617,66,0.19760479041916168,radial_hu_summary_v1,test,0.0
268,5,0.9631877923813766,0.960460405908728,0.9669712701957196,68,1,66,133,0.5074626865671642,0.007462686567164179,0.9855072463768116,0.75,69,0.2574626865671642,radial_hu_summary_v1,val,0.01
334,6,0.9440281114417871,0.9488181222518489,0.9669712701957196,73,0,94,167,0.437125748502994,0.0,1.0,0.718562874251497,73,0.218562874251497,radial_hu_summary_v1,test,0.01
268,5,0.9631877923813766,0.960460405908728,0.9298362926472468,88,2,46,132,0.6567164179104478,0.014925373134328358,0.9777777777777777,0.8208955223880597,90,0.3358208955223881,radial_hu_summary_v1,val,0.02
334,6,0.9440281114417871,0.9488181222518489,0.9298362926472468,99,4,68,163,0.592814371257485,0.023952095808383235,0.9611650485436893,0.7844311377245509,103,0.3083832335329341,radial_hu_summary_v1,test,0.02
