eval,system,validation_selected_gate,metric,estimate,ci_low,ci_high,n_patients,n_scenes
test30,base_joint,0.85,coverage,0.57015065913371,0.5517540066502132,0.5885962579304233,160,2124
test30,base_joint,0.85,false,0.00495458298926507,0.0016339535814325731,0.009098428453267164,160,2124
test30,base_joint,0.85,exact,0.6118909991742362,0.5955047089196757,0.6277315545507542,160,2124
test30,base_joint,0.85,incomplete,0.3831544178364988,0.36724518839793985,0.399183756429401,160,2124
test30,relation_type_head,0.6,coverage,0.7434086629001884,0.7249437945131515,0.7619518729452023,160,2124
test30,relation_type_head,0.6,false,0.008233058898036731,0.004315659679408138,0.01261845373465944,160,2124
test30,relation_type_head,0.6,exact,0.5788473717542748,0.5637159562676517,0.5938092229943146,160,2124
test30,relation_type_head,0.6,incomplete,0.4129195693476884,0.39690713670166927,0.42902418241226065,160,2124
test45,base_joint,0.85,coverage,0.6699623352165726,0.6505274868719708,0.6892794014763364,160,2124
test45,base_joint,0.85,false,0.004919184820801124,0.0013966480446927375,0.009325681492109038,160,2124
test45,base_joint,0.85,exact,0.5390021082220661,0.525,0.5533436687461455,160,2124
test45,base_joint,0.85,incomplete,0.4560787069571328,0.44104765401926516,0.47046263345195727,160,2124
test45,relation_type_head,0.6,coverage,0.818738229755179,0.8041042388684775,0.8339589927387824,160,2124
test45,relation_type_head,0.6,false,0.008625646923519264,0.004595060310166571,0.012965966861321392,160,2124
test45,relation_type_head,0.6,exact,0.5192639447958597,0.5079712174174636,0.5306577480490524,160,2124
test45,relation_type_head,0.6,incomplete,0.47211040828062106,0.4603545673076923,0.4836304666992329,160,2124
