side,segment,n,coord_variant,x_mask_median_mm,x_mask_p90_mm,x_mask_within1mm,orig_mask_median_mm,orig_mask_p90_mm,orig_mask_within1mm,orig_mask_within1_5mm
L,D1,296,lps_to_ras,0.1360684295728503,0.20666940825552077,1.0,14.900667457710828,23.46494145718096,0.0,0.0
L,IM,100,lps_to_ras,0.10323407157503622,0.1922167500222815,1.0,4.078731448846632,5.612859309710029,0.11,0.14
L,LAD,345,lps_to_ras,0.12670780559866146,0.2068021147178328,1.0,22.023957131826464,35.81980329873842,0.05217391304347826,0.06086956521739131
L,LCX,230,lps_to_ras,0.12523268134342344,0.1861392055879721,1.0,19.122094071318422,28.451386140338194,0.0,0.0
L,LM,20,lps_to_ras,0.08633648020430879,0.20294177043439418,1.0,10.310068694232061,12.09594271546218,0.0,0.0
L,OM1,39,lps_to_ras,0.12730295875091882,0.2149409687260083,1.0,8.236590596153848,9.372477508416404,0.0,0.0
L,OM2,142,lps_to_ras,0.11988317935939197,0.19156199778676583,1.0,15.060728661120542,26.05302387242391,0.0,0.0
L,Other,111,lps_to_ras,0.12561901589067367,0.2184376070911972,1.0,30.236107393122204,31.84358306339655,0.0,0.0
R,R-PDA,127,lps_to_ras,0.11907958985234242,0.20954115021719066,1.0,15.446879112666238,16.89075170215174,0.0,0.0
R,R-PLA,162,lps_to_ras,0.12586779567208495,0.20193466350894287,1.0,14.795679361194761,16.45528742048202,0.0,0.0
R,RCA,193,lps_to_ras,0.1250004926798124,0.20501623437082708,1.0,17.50396790230278,20.139997443494398,0.0,0.0
