train,test,angle,jitter,threshold,coverage,n_accept,false_rate_accept,exact_rate_accept,branch_recall_accept,simple_gap_recall_accept
921,953,30,1.0,0.5,0.9398148148148148,203,0.0,0.9753694581280788,1.0,0.9753694581280788
921,953,30,1.0,0.6,0.9120370370370371,197,0.0,0.9847715736040609,1.0,0.9847715736040609
921,953,30,1.0,0.7,0.8333333333333334,180,0.0,0.9833333333333333,1.0,0.9833333333333333
921,953,30,1.0,0.8,0.7870370370370371,170,0.0,0.9823529411764705,1.0,0.9823529411764705
921,953,30,1.0,0.85,0.6666666666666666,144,0.0,0.9930555555555556,1.0,0.9930555555555556
921,953,30,1.0,0.9,0.6018518518518519,130,0.0,0.9923076923076923,1.0,0.9923076923076923
921,953,30,1.0,0.95,0.4444444444444444,96,0.0,0.9895833333333334,1.0,0.9895833333333334
921,953,30,1.0,1.0,0.4444444444444444,96,0.0,0.9895833333333334,1.0,0.9895833333333334
953,921,30,1.0,0.5,0.9194630872483222,137,0.014598540145985401,0.927007299270073,0.9823600973236009,0.9562043795620438
953,921,30,1.0,0.6,0.87248322147651,130,0.007692307692307693,0.9461538461538461,0.987179487179487,0.9769230769230769
953,921,30,1.0,0.7,0.785234899328859,117,0.008547008547008548,0.9658119658119658,0.987891737891738,0.9914529914529915
953,921,30,1.0,0.8,0.697986577181208,104,0.0,0.9903846153846154,0.9975961538461539,1.0
953,921,30,1.0,0.85,0.6308724832214765,94,0.0,1.0,1.0,1.0
953,921,30,1.0,0.9,0.5369127516778524,80,0.0,1.0,1.0,1.0
953,921,30,1.0,0.95,0.3422818791946309,51,0.0,1.0,1.0,1.0
953,921,30,1.0,1.0,0.3422818791946309,51,0.0,1.0,1.0,1.0
