train,test,scene,scene_uid,branch_name,true_degree,false_scene,incomplete,branch_recall,simple_gap_recall,consistency,selected_degree,junction_error_mm,failure_type
921,953,605,953:b0:r2:a300:j100,LAD,3,0,1,1.0,0,0.6666666666666666,3,4.53325345916637,incomplete_safe
921,953,657,953:b0:r15:a300:j100,LAD,3,1,0,0.3333333333333333,0,0.0,3,14.67261128606422,false_structure
921,953,697,953:b0:r25:a300:j100,LAD,3,0,1,1.0,0,0.8,3,1.0189727783410163,incomplete_safe
921,953,705,953:b0:r27:a300:j100,LAD,3,1,0,0.3333333333333333,0,0.0666666666666666,3,18.513810834432043,false_structure
921,953,841,953:b2:r1:a300:j100,LCX,3,0,1,1.0,0,0.6666666666666666,3,2.0406194535481483,incomplete_safe
921,953,889,953:b2:r13:a300:j100,LCX,3,1,0,0.3333333333333333,0,0.4,3,18.721868926601253,false_structure
921,953,893,953:b2:r14:a300:j100,LCX,3,0,1,1.0,0,0.8666666666666667,3,4.032797026072818,incomplete_safe
921,953,897,953:b2:r15:a300:j100,LCX,3,0,1,1.0,0,0.7333333333333333,3,1.9764382082440368,incomplete_safe
921,953,925,953:b2:r22:a300:j100,LCX,3,0,1,1.0,0,0.9333333333333332,3,2.0053849561927093,incomplete_safe
921,953,965,953:b4:r18:a300:j100,LCX,3,0,1,1.0,0,0.5333333333333333,3,2.6428493357087843,incomplete_safe
921,953,1217,953:b7:r29:a300:j100,LCX,3,1,0,0.6666666666666666,0,0.0,3,4.708020337931198,false_structure
921,953,1285,953:b8:r16:a300:j100,R-PLA,3,0,1,1.0,0,0.6,3,3.613792971812919,incomplete_safe
953,921,5,921:b1:r1:a300:j100,LCX,4,0,1,1.0,0,0.5333333333333333,4,6.521010247164012,incomplete_safe
953,921,13,921:b1:r3:a300:j100,LCX,4,0,1,0.75,1,0.3333333333333333,3,4.127971423261989,incomplete_safe
953,921,17,921:b1:r4:a300:j100,LCX,4,1,0,0.25,0,0.4,3,18.66013846367158,false_structure
953,921,21,921:b1:r5:a300:j100,LCX,4,0,1,0.75,1,0.6,3,3.2292315862384706,incomplete_safe
953,921,25,921:b1:r6:a300:j100,LCX,4,1,0,0.5,0,0.2,3,3.919032244589895,false_structure
953,921,57,921:b1:r14:a300:j100,LCX,4,0,1,0.75,1,0.3333333333333333,3,1.339087508701419,incomplete_safe
953,921,69,921:b1:r17:a300:j100,LCX,4,0,1,0.75,1,0.8,3,3.083448882665353,incomplete_safe
953,921,73,921:b1:r18:a300:j100,LCX,4,0,1,0.75,1,0.6,3,2.0467557120033404,incomplete_safe
953,921,81,921:b1:r20:a300:j100,LCX,4,0,1,0.75,1,0.7333333333333333,3,3.683629263244984,incomplete_safe
953,921,85,921:b1:r21:a300:j100,LCX,4,0,1,0.75,1,0.4666666666666667,3,3.4224323772375262,incomplete_safe
953,921,105,921:b1:r26:a300:j100,LCX,4,0,1,0.75,1,0.9333333333333332,3,3.587813958312579,incomplete_safe
953,921,185,921:b2:r16:a300:j100,LCX,3,1,0,0.3333333333333333,0,0.5333333333333333,3,12.008501540031908,false_structure
953,921,217,921:b2:r24:a300:j100,LCX,3,1,0,0.3333333333333333,0,0.2,3,8.421386218071591,false_structure
953,921,389,921:b4:r8:a300:j100,LAD,3,0,1,1.0,0,0.6,3,2.172491035930835,incomplete_safe
953,921,449,921:b4:r23:a300:j100,LAD,3,0,1,1.0,0,0.7333333333333333,3,2.963549109156152,incomplete_safe
953,921,477,921:b6:r0:a300:j100,LCX,3,0,1,1.0,0,0.6,3,6.30677548104834,incomplete_safe
953,921,561,921:b6:r21:a300:j100,LCX,3,0,1,1.0,0,0.6666666666666666,3,2.2703842559259653,incomplete_safe
