train,test,angle,jitter,method,exact_scene_rate,false_scene_rate,branch_recall,simple_gap_recall,junction_error_median_mm,n_scenes,pair_auc
921,953,15,0.5,joint_graph_lira,0.9212962962962963,0.0,1.0,0.9212962962962963,1.1763608433980428,216,0.9951727061423564
921,953,15,0.5,local_independent_pairs,0.0,0.07407407407407407,0.0,0.9212962962962963,,216,0.9951727061423564
921,953,15,0.5,sequential_junction_then_pair,0.8981481481481481,0.023148148148148147,0.9907407407407407,0.8981481481481481,1.1992482925616623,216,0.9951727061423564
921,953,30,1.0,joint_graph_lira,0.9444444444444444,0.018518518518518517,0.9891975308641975,0.9444444444444444,2.2338106220925873,216,0.9826865188233501
921,953,30,1.0,local_independent_pairs,0.0,0.5370370370370371,0.0,0.9537037037037037,,216,0.9826865188233501
921,953,30,1.0,sequential_junction_then_pair,0.8703703703703703,0.08796296296296297,0.9629629629629629,0.8703703703703703,2.3385662419682722,216,0.9826865188233501
921,953,45,1.0,joint_graph_lira,0.8796296296296297,0.06944444444444445,0.9583333333333334,0.8796296296296297,2.7539836260803083,216,0.9629915409236398
921,953,45,1.0,local_independent_pairs,0.0,0.6944444444444444,0.0,0.9259259259259259,,216,0.9629915409236398
921,953,45,1.0,sequential_junction_then_pair,0.8101851851851852,0.12962962962962962,0.9382716049382716,0.8101851851851852,2.9325877761776598,216,0.9629915409236398
921,953,60,1.5,joint_graph_lira,0.75,0.18981481481481483,0.8873456790123456,0.75,3.5690280260502774,216,0.9222465134887974
921,953,60,1.5,local_independent_pairs,0.0,0.9259259259259259,0.0,0.9120370370370371,,216,0.9222465134887974
921,953,60,1.5,sequential_junction_then_pair,0.6435185185185185,0.27314814814814814,0.8780864197530863,0.6435185185185185,3.635592246593437,216,0.9222465134887974
953,921,15,0.5,joint_graph_lira,0.9664429530201343,0.0,0.9932885906040269,0.9865771812080537,1.1017235534711156,149,0.9992617899792492
953,921,15,0.5,local_independent_pairs,0.0,0.11409395973154363,0.0,0.9865771812080537,,149,0.9992617899792492
953,921,15,0.5,sequential_junction_then_pair,0.959731543624161,0.006711409395973154,0.9910514541387024,0.9798657718120806,1.1017235534711156,149,0.9992617899792492
953,921,30,1.0,joint_graph_lira,0.8859060402684564,0.026845637583892617,0.9692393736017897,0.9395973154362416,2.2686833355507967,149,0.981364698256654
953,921,30,1.0,local_independent_pairs,0.0,0.5436241610738255,0.0,0.9530201342281879,,149,0.981364698256654
953,921,30,1.0,sequential_junction_then_pair,0.8053691275167785,0.09395973154362416,0.9496644295302014,0.8590604026845637,2.275927441627343,149,0.981364698256654
953,921,45,1.0,joint_graph_lira,0.8590604026845637,0.12080536912751678,0.9205816554809843,0.8657718120805369,2.7972380235951846,149,0.9672981963368578
953,921,45,1.0,local_independent_pairs,0.0,0.8590604026845637,0.0,0.9664429530201343,,149,0.9672981963368578
953,921,45,1.0,sequential_junction_then_pair,0.7919463087248322,0.174496644295302,0.9110738255033557,0.7986577181208053,2.734664619336678,149,0.9672981963368578
953,921,60,1.5,joint_graph_lira,0.697986577181208,0.28187919463087246,0.8361297539149888,0.7046979865771812,3.4205429482851546,149,0.9146557195522126
953,921,60,1.5,local_independent_pairs,0.0,0.9664429530201343,0.0,0.9463087248322147,,149,0.9146557195522126
953,921,60,1.5,sequential_junction_then_pair,0.6845637583892618,0.28187919463087246,0.8685682326621923,0.6912751677852349,3.4205429482851546,149,0.9146557195522126
