eval,section,stratum,variant,metric,value,n
test30,bottleneck,all,relation_type_actual,exact,0.5546139359698682,2124
test30,bottleneck,all,oracle_presence_top1,exact,0.8328625235404896,2124
test30,bottleneck,all,oracle_presence_top2,exact,0.9397363465160076,2124
test30,bottleneck,all,oracle_presence_top3,exact,0.9689265536723164,2124
test30,bottleneck,all,oracle_presence_top5,exact,0.9882297551789078,2124
test30,bottleneck,repair_needed,relation_type_actual,exact,0.2845394736842105,1216
test30,bottleneck,repair_needed,oracle_presence_top1,exact,0.7080592105263158,1216
test30,bottleneck,repair_needed,oracle_presence_top2,exact,0.8947368421052632,1216
test30,bottleneck,repair_needed,oracle_presence_top3,exact,0.9457236842105264,1216
test30,bottleneck,repair_needed,oracle_presence_top5,exact,0.9794407894736842,1216
test30,strict_selective,pair_only,relation_type_gate_0.70,coverage,0.6625,320
test30,strict_selective,pair_only,relation_type_gate_0.70,false_accept,0.0,320
test30,strict_selective,pair_only,relation_type_gate_0.70,exact_accept,0.0,320
test30,strict_selective,pair_only,relation_type_gate_0.70,incomplete_accept,1.0,320
test30,strict_selective,pair_only,relation_type_gate_0.70,exact_yield,0.0,320
test30,strict_selective,pair_only,relation_type_gate_0.70,false_yield,0.0,320
test30,strict_selective,junction_only,relation_type_gate_0.70,coverage,0.4358288770053476,748
test30,strict_selective,junction_only,relation_type_gate_0.70,false_accept,0.00920245398773,748
test30,strict_selective,junction_only,relation_type_gate_0.70,exact_accept,0.0245398773006134,748
test30,strict_selective,junction_only,relation_type_gate_0.70,incomplete_accept,0.9662576687116564,748
test30,strict_selective,junction_only,relation_type_gate_0.70,exact_yield,0.0106951871657754,748
test30,strict_selective,junction_only,relation_type_gate_0.70,false_yield,0.0040106951871657,748
test30,strict_selective,mixed,relation_type_gate_0.70,coverage,0.4527027027027027,148
test30,strict_selective,mixed,relation_type_gate_0.70,false_accept,0.0,148
test30,strict_selective,mixed,relation_type_gate_0.70,exact_accept,0.2985074626865671,148
test30,strict_selective,mixed,relation_type_gate_0.70,incomplete_accept,0.7014925373134329,148
test30,strict_selective,mixed,relation_type_gate_0.70,exact_yield,0.1351351351351351,148
test30,strict_selective,mixed,relation_type_gate_0.70,false_yield,0.0,148
test30,strict_selective,none_incomplete_junction,relation_type_gate_0.70,coverage,0.8890374331550802,748
test30,strict_selective,none_incomplete_junction,relation_type_gate_0.70,false_accept,0.0,748
test30,strict_selective,none_incomplete_junction,relation_type_gate_0.70,exact_accept,1.0,748
test30,strict_selective,none_incomplete_junction,relation_type_gate_0.70,incomplete_accept,0.0,748
test30,strict_selective,none_incomplete_junction,relation_type_gate_0.70,exact_yield,0.8890374331550802,748
test30,strict_selective,none_incomplete_junction,relation_type_gate_0.70,false_yield,0.0,748
test30,strict_selective,none_orphan_pair,relation_type_gate_0.70,coverage,0.925,160
test30,strict_selective,none_orphan_pair,relation_type_gate_0.70,false_accept,0.0,160
test30,strict_selective,none_orphan_pair,relation_type_gate_0.70,exact_accept,1.0,160
test30,strict_selective,none_orphan_pair,relation_type_gate_0.70,incomplete_accept,0.0,160
test30,strict_selective,none_orphan_pair,relation_type_gate_0.70,exact_yield,0.925,160
test30,strict_selective,none_orphan_pair,relation_type_gate_0.70,false_yield,0.0,160
