relation,variant,eval,auroc,auprc,n,positive_rate
pair,geometry,val30,0.8659379873505458,0.6595485213958148,1028,0.22568093385214008
pair,geometry,val45,0.8162742592271703,0.5945087468357586,1028,0.22568093385214008
pair,geometry,test30,0.854337632643792,0.6603782615106573,2124,0.22033898305084745
pair,geometry,test45,0.8166406024195878,0.6104199301354093,2124,0.22033898305084745
pair,mask,val30,0.8929345000866402,0.7847358532897856,1028,0.22568093385214008
pair,mask,val45,0.8818716426962399,0.7684074360504639,1028,0.22568093385214008
pair,mask,test30,0.9050603348610595,0.7846758817302223,2124,0.22033898305084745
pair,mask,test45,0.8865573000536769,0.7637065818780782,2124,0.22033898305084745
pair,geometry_plus_mask,val30,0.9290363455207069,0.8300632704544131,1028,0.22568093385214008
pair,geometry_plus_mask,val45,0.894900147288165,0.7909312068851188,1028,0.22568093385214008
pair,geometry_plus_mask,test30,0.9287736384656674,0.8253236032065651,2124,0.22033898305084745
pair,geometry_plus_mask,test45,0.9001416759568934,0.7837034734287553,2124,0.22033898305084745
junction,geometry,val30,0.9089406548961655,0.8601130224944435,1028,0.4182879377431907
junction,geometry,val45,0.8588900987788753,0.8038689724829841,1028,0.4182879377431907
junction,geometry,test30,0.9100444610865519,0.8628112129949297,2124,0.4218455743879473
junction,geometry,test45,0.8661459545137273,0.8015471422103139,2124,0.4218455743879473
junction,mask,val30,0.8914676829742553,0.8578050883054132,1028,0.4182879377431907
junction,mask,val45,0.8751847242747142,0.8390163841666336,1028,0.4182879377431907
junction,mask,test30,0.900006180200093,0.8569108424429699,2124,0.4218455743879473
junction,mask,test45,0.8772903094462541,0.827457866374581,2124,0.4218455743879473
junction,geometry_plus_mask,val30,0.9358365092945478,0.905870862625044,1028,0.4182879377431907
junction,geometry_plus_mask,val45,0.895881620906899,0.8632643856933219,1028,0.4182879377431907
junction,geometry_plus_mask,test30,0.9314406773499302,0.8948939838884871,2124,0.4218455743879473
junction,geometry_plus_mask,test45,0.8945521536179618,0.849661181967436,2124,0.4218455743879473
