n,auroc,auprc,threshold,recall,fpr,precision,accuracy,model,split,scan_id
132,0.9775022956841138,0.9615083494079304,0.9588275716171256,0.06060606060606061,0.0,1.0,0.5303030303030303,geometry,train,
54,1.0,0.9999999999999998,0.9588275716171256,0.1111111111111111,0.0,1.0,0.5555555555555556,geometry,train_patient,953.0
78,0.9598948060486522,0.9257194705021239,0.9588275716171256,0.02564102564102564,0.0,1.0,0.5128205128205128,geometry,train_patient,964.0
118,0.920999712726228,0.840673258952159,0.9588275716171256,0.11864406779661017,0.03389830508474576,0.7777777777777778,0.5423728813559322,geometry,val,
54,0.879286694101509,0.7615429085386136,0.9588275716171256,0.14814814814814814,0.07407407407407407,0.6666666666666666,0.5370370370370371,geometry,val_patient,957.0
64,0.94921875,0.9348106149972198,0.9588275716171256,0.09375,0.0,1.0,0.546875,geometry,val_patient,966.0
94,0.987324581258488,0.9880801779506684,0.9588275716171256,0.02127659574468085,0.0,1.0,0.5106382978723404,geometry,test,
32,0.98046875,0.9815359477124184,0.9588275716171256,0.0,0.0,0.0,0.5,geometry,test_patient,980.0
62,0.9885535900104059,0.9895629683936135,0.9588275716171256,0.03225806451612903,0.0,1.0,0.5161290322580645,geometry,test_patient,984.0
132,0.9912764003673095,0.9907787703980256,0.9814985985870024,0.48484848484848486,0.0,1.0,0.7424242424242424,ct_only,train,
54,0.9945130315500686,0.9943995236587826,0.9814985985870024,0.5925925925925926,0.0,1.0,0.7962962962962963,ct_only,train_patient,953.0
78,0.9940828402366864,0.9942527217925017,0.9814985985870024,0.41025641025641024,0.0,1.0,0.7051282051282052,ct_only,train_patient,964.0
118,0.9560471128985923,0.9497461909875249,0.9814985985870024,0.5084745762711864,0.01694915254237288,0.967741935483871,0.7457627118644068,ct_only,val,
54,0.9725651577503429,0.9726654563692554,0.9814985985870024,0.6666666666666666,0.037037037037037035,0.9473684210526315,0.8148148148148148,ct_only,val_patient,957.0
64,0.9443359375,0.9278245745536144,0.9814985985870024,0.375,0.0,1.0,0.6875,ct_only,val_patient,966.0
94,0.9357175192394749,0.9501817721893562,0.9814985985870024,0.46808510638297873,0.0,1.0,0.7340425531914894,ct_only,test,
32,0.97265625,0.9759803921568628,0.9814985985870024,0.1875,0.0,1.0,0.59375,ct_only,test_patient,980.0
62,0.9573361082206036,0.9694560219319965,0.9814985985870024,0.6129032258064516,0.0,1.0,0.8064516129032258,ct_only,test_patient,984.0
132,0.9993112947658402,0.9993412384716732,0.9508387278656689,0.7575757575757576,0.0,1.0,0.8787878787878788,geometry_plus_ct,train,
54,0.9986282578875172,0.9986772486772484,0.9508387278656689,0.8518518518518519,0.0,1.0,0.9259259259259259,geometry_plus_ct,train_patient,953.0
78,1.0,1.0,0.9508387278656689,0.6923076923076923,0.0,1.0,0.8461538461538461,geometry_plus_ct,train_patient,964.0
118,0.9686871588623959,0.9580728417967876,0.9508387278656689,0.7457627118644068,0.03389830508474576,0.9565217391304348,0.8559322033898306,geometry_plus_ct,val,
54,0.9725651577503429,0.9659907353686858,0.9508387278656689,0.8518518518518519,0.037037037037037035,0.9583333333333334,0.9074074074074074,geometry_plus_ct,val_patient,957.0
64,0.9716796875,0.9640194562559168,0.9508387278656689,0.65625,0.03125,0.9545454545454546,0.8125,geometry_plus_ct,val_patient,966.0
94,0.974649162516976,0.9759663401738711,0.9508387278656689,0.6170212765957447,0.0,1.0,0.8085106382978723,geometry_plus_ct,test,
32,0.9921875,0.9924172794117647,0.9508387278656689,0.1875,0.0,1.0,0.59375,geometry_plus_ct,test_patient,980.0
62,0.9781477627471383,0.9828367197318809,0.9508387278656689,0.8387096774193549,0.0,1.0,0.9193548387096774,geometry_plus_ct,test_patient,984.0
