model,truth_type,group,n,accepted,rate
nearest_endpoint,positive_branch,D1,22,3,0.13636363636363635
nearest_endpoint,positive_branch,D2,8,2,0.25
nearest_endpoint,positive_branch,IM,11,2,0.18181818181818182
nearest_endpoint,positive_branch,LAD,11,1,0.09090909090909091
nearest_endpoint,positive_branch,LCX,21,6,0.2857142857142857
nearest_endpoint,positive_branch,LM,1,0,0.0
nearest_endpoint,positive_branch,OM1,9,1,0.1111111111111111
nearest_endpoint,positive_branch,OM2,13,3,0.23076923076923078
nearest_endpoint,positive_branch,R-PDA,16,4,0.25
nearest_endpoint,positive_branch,R-PLA,36,5,0.1388888888888889
nearest_endpoint,positive_branch,RCA,19,0,0.0
nearest_endpoint,negative_pair,D1|LAD,20,1,0.05
nearest_endpoint,negative_pair,D2|LAD,20,1,0.05
nearest_endpoint,negative_pair,IM|LAD,6,0,0.0
nearest_endpoint,negative_pair,IM|LCX,2,0,0.0
nearest_endpoint,negative_pair,IM|LM,6,0,0.0
nearest_endpoint,negative_pair,IM|OM1,2,0,0.0
nearest_endpoint,negative_pair,LAD|LCX,3,0,0.0
nearest_endpoint,negative_pair,LAD|LM,18,0,0.0
nearest_endpoint,negative_pair,LCX|LM,12,1,0.08333333333333333
nearest_endpoint,negative_pair,LCX|OM1,24,3,0.125
nearest_endpoint,negative_pair,LCX|OM2,8,0,0.0
nearest_endpoint,negative_pair,R-PDA|R-PLA,9,0,0.0
nearest_endpoint,negative_pair,R-PDA|RCA,16,0,0.0
nearest_endpoint,negative_pair,R-PLA|RCA,21,1,0.047619047619047616
ogmc_style_touch,positive_branch,D1,22,8,0.36363636363636365
ogmc_style_touch,positive_branch,D2,8,2,0.25
ogmc_style_touch,positive_branch,IM,11,3,0.2727272727272727
ogmc_style_touch,positive_branch,LAD,11,6,0.5454545454545454
ogmc_style_touch,positive_branch,LCX,21,11,0.5238095238095238
ogmc_style_touch,positive_branch,LM,1,0,0.0
ogmc_style_touch,positive_branch,OM1,9,2,0.2222222222222222
ogmc_style_touch,positive_branch,OM2,13,1,0.07692307692307693
ogmc_style_touch,positive_branch,R-PDA,16,7,0.4375
ogmc_style_touch,positive_branch,R-PLA,36,12,0.3333333333333333
ogmc_style_touch,positive_branch,RCA,19,14,0.7368421052631579
ogmc_style_touch,negative_pair,D1|LAD,20,1,0.05
ogmc_style_touch,negative_pair,D2|LAD,20,1,0.05
ogmc_style_touch,negative_pair,IM|LAD,6,0,0.0
ogmc_style_touch,negative_pair,IM|LCX,2,0,0.0
ogmc_style_touch,negative_pair,IM|LM,6,0,0.0
ogmc_style_touch,negative_pair,IM|OM1,2,0,0.0
ogmc_style_touch,negative_pair,LAD|LCX,3,0,0.0
ogmc_style_touch,negative_pair,LAD|LM,18,0,0.0
ogmc_style_touch,negative_pair,LCX|LM,12,0,0.0
ogmc_style_touch,negative_pair,LCX|OM1,24,0,0.0
ogmc_style_touch,negative_pair,LCX|OM2,8,0,0.0
ogmc_style_touch,negative_pair,R-PDA|R-PLA,9,0,0.0
ogmc_style_touch,negative_pair,R-PDA|RCA,16,0,0.0
ogmc_style_touch,negative_pair,R-PLA|RCA,21,4,0.19047619047619047
geometry_hgb,positive_branch,D1,22,14,0.6363636363636364
geometry_hgb,positive_branch,D2,8,2,0.25
geometry_hgb,positive_branch,IM,11,2,0.18181818181818182
geometry_hgb,positive_branch,LAD,11,3,0.2727272727272727
geometry_hgb,positive_branch,LCX,21,9,0.42857142857142855
geometry_hgb,positive_branch,LM,1,0,0.0
geometry_hgb,positive_branch,OM1,9,1,0.1111111111111111
geometry_hgb,positive_branch,OM2,13,4,0.3076923076923077
geometry_hgb,positive_branch,R-PDA,16,7,0.4375
geometry_hgb,positive_branch,R-PLA,36,12,0.3333333333333333
geometry_hgb,positive_branch,RCA,19,9,0.47368421052631576
geometry_hgb,negative_pair,D1|LAD,20,0,0.0
geometry_hgb,negative_pair,D2|LAD,20,0,0.0
geometry_hgb,negative_pair,IM|LAD,6,0,0.0
geometry_hgb,negative_pair,IM|LCX,2,0,0.0
geometry_hgb,negative_pair,IM|LM,6,0,0.0
geometry_hgb,negative_pair,IM|OM1,2,0,0.0
geometry_hgb,negative_pair,LAD|LCX,3,0,0.0
geometry_hgb,negative_pair,LAD|LM,18,0,0.0
geometry_hgb,negative_pair,LCX|LM,12,0,0.0
geometry_hgb,negative_pair,LCX|OM1,24,0,0.0
geometry_hgb,negative_pair,LCX|OM2,8,1,0.125
geometry_hgb,negative_pair,R-PDA|R-PLA,9,0,0.0
geometry_hgb,negative_pair,R-PDA|RCA,16,1,0.0625
geometry_hgb,negative_pair,R-PLA|RCA,21,0,0.0
