n,positives,negatives,auroc,auprc,threshold,tp,fp,fn,tn,recall,fpr,precision,accuracy,n_pairs,pair_top1,pair_margin_median,model,split
758,379,379,0.9066909865567631,0.8142495257039557,-3.839772012290029,76,17,303,362,0.20052770448548812,0.044854881266490766,0.8172043010752689,0.5778364116094987,379,0.941952506596306,1.4221554165413348,nearest_endpoint,train
268,134,134,0.9023724660280686,0.804797112631787,-3.839772012290029,21,6,113,128,0.15671641791044777,0.04477611940298507,0.7777777777777778,0.5559701492537313,134,0.9402985074626866,1.4240925629282795,nearest_endpoint,val
334,167,167,0.9188568969844741,0.8341764711054178,-3.839772012290029,27,7,140,160,0.16167664670658682,0.041916167664670656,0.7941176470588235,0.5598802395209581,167,0.9520958083832335,1.4553093978750309,nearest_endpoint,test
758,379,379,0.6585445659665417,0.6809539777835669,0.978147310945151,49,8,330,371,0.12928759894459102,0.021108179419525065,0.8596491228070176,0.554089709762533,379,0.8337730870712401,0.03968884466578981,tangent_mean,train
268,134,134,0.6230229449766095,0.6240031393560681,0.978147310945151,17,5,117,129,0.12686567164179105,0.03731343283582089,0.7727272727272727,0.5447761194029851,134,0.8283582089552238,0.03157246738644853,tangent_mean,val
334,167,167,0.6476388540284701,0.6163547465148231,0.978147310945151,24,14,143,153,0.1437125748502994,0.08383233532934131,0.631578947368421,0.5299401197604791,167,0.7784431137724551,0.039315117602296556,tangent_mean,test
758,379,379,0.8303200339735869,0.8428128021066492,0.35667325924748233,162,14,217,365,0.42744063324538256,0.036939313984168866,0.9204545454545454,0.6952506596306068,379,0.941952506596306,0.11307680413972099,ogmc_style_touch,train
268,134,134,0.8122633103141012,0.8153857303374701,0.35667325924748233,57,6,77,128,0.4253731343283582,0.04477611940298507,0.9047619047619048,0.6902985074626866,134,0.9626865671641791,0.10311066619838338,ogmc_style_touch,val
334,167,167,0.8148373910860914,0.8238532958738503,0.35667325924748233,66,6,101,161,0.39520958083832336,0.03592814371257485,0.9166666666666666,0.6796407185628742,167,0.9221556886227545,0.10741596867495586,ogmc_style_touch,test
758,379,379,0.9308902054427357,0.8666547434534956,0.9418564612332644,46,7,333,372,0.12137203166226913,0.018469656992084433,0.8679245283018868,0.5514511873350924,379,0.9472295514511874,0.8037215238575716,geometry_logreg,train
268,134,134,0.9113945199376253,0.8323981031228282,0.9418564612332644,21,6,113,128,0.15671641791044777,0.04477611940298507,0.7777777777777778,0.5559701492537313,134,0.9477611940298507,0.8027725652854889,geometry_logreg,val
334,167,167,0.9366416866865072,0.8773789951190524,0.9418564612332644,14,3,153,164,0.08383233532934131,0.017964071856287425,0.8235294117647058,0.5329341317365269,167,0.9580838323353293,0.8136726620702855,geometry_logreg,test
758,379,379,0.995711530830334,0.9955808832988153,0.9388294139155035,159,0,220,379,0.41952506596306066,0.0,1.0,0.7097625329815304,379,0.9973614775725593,0.9066959014206667,geometry_hgb,train
268,134,134,0.9343394965471151,0.8985717052122328,0.9388294139155035,43,6,91,128,0.3208955223880597,0.04477611940298507,0.8775510204081632,0.6380597014925373,134,0.917910447761194,0.8766086416541468,geometry_hgb,val
334,167,167,0.9684821972820826,0.9578377548725879,0.9388294139155035,63,2,104,165,0.3772455089820359,0.011976047904191617,0.9692307692307692,0.6826347305389222,167,0.9520958083832335,0.8929182883442033,geometry_hgb,test
758,379,379,0.5,0.5,inf,0,0,379,379,0.0,0.0,0.0,0.5,379,0.0,0.0,no_repair,train
268,134,134,0.5,0.5,inf,0,0,134,134,0.0,0.0,0.0,0.5,134,0.0,0.0,no_repair,val
334,167,167,0.5,0.5,inf,0,0,167,167,0.0,0.0,0.5,167,0.0,0.0,no_repair,test
