model,metric,median,lo95,hi95
geometry_hgb,auroc,0.9682503858024691,0.9459631277813095,0.9867769593044318
geometry_hgb,auprc,0.9575644929704922,0.9255482276967,0.9842478915746168
geometry_hgb,recall,0.3772455089820359,0.24817518248175183,0.47804878048780486
geometry_hgb,fpr,0.011904761904761904,0.0,0.0273972602739726
geometry_hgb,precision,0.9692307692307692,0.9365079365079365,1.0
geometry_hgb,accuracy,0.6823899371069182,0.6204379562043796,0.7323370693233706
nearest_endpoint,auroc,0.9188568969844741,0.9000487420485548,0.9383558792924037
nearest_endpoint,recall,0.16312056737588654,0.1232876712328767,0.19444444444444445
nearest_endpoint,fpr,0.041916167664670656,0.02631578947368421,0.058823529411764705
ogmc_style_touch,auroc,0.8154616282133313,0.7727467300832341,0.8453343337878051
ogmc_style_touch,recall,0.39215686274509803,0.3076923076923077,0.4869109947643979
ogmc_style_touch,fpr,0.03553299492385787,0.013793103448275862,0.05583756345177665
