n,threshold,tp,fp,fn,tn,recall,fpr,precision,accepted,accepted_fraction,model,split,target_fpr_budget
268,inf,0,0,134,134,0.0,0.0,0.0,0,0.0,nearest_endpoint,val,0.0
334,inf,0,0,167,167,0.0,0.0,0.0,0,0.0,nearest_endpoint,test,0.0
268,-3.561816047619033,4,1,130,133,0.029850746268656716,0.007462686567164179,0.8,5,0.018656716417910446,nearest_endpoint,val,0.01
334,-3.561816047619033,2,3,165,164,0.011976047904191617,0.017964071856287425,0.4,5,0.014970059880239521,nearest_endpoint,test,0.01
268,-3.561816047619033,4,1,130,133,0.029850746268656716,0.007462686567164179,0.8,5,0.018656716417910446,nearest_endpoint,val,0.02
334,-3.561816047619033,2,3,165,164,0.011976047904191617,0.017964071856287425,0.4,5,0.014970059880239521,nearest_endpoint,test,0.02
268,-3.839772012290029,21,6,113,128,0.15671641791044777,0.04477611940298507,0.7777777777777778,27,0.10074626865671642,nearest_endpoint,val,0.05
334,-3.839772012290029,27,7,140,160,0.16167664670658682,0.041916167664670656,0.7941176470588235,34,0.10179640718562874,nearest_endpoint,test,0.05
268,-4.026972248651285,55,13,79,121,0.41044776119402987,0.09701492537313433,0.8088235294117647,68,0.2537313432835821,nearest_endpoint,val,0.1
334,-4.026972248651285,79,12,88,155,0.47305389221556887,0.0718562874251497,0.8681318681318682,91,0.27245508982035926,nearest_endpoint,test,0.1
268,0.4269308195653717,5,0,129,134,0.03731343283582089,0.0,1.0,5,0.018656716417910446,ogmc_style_touch,val,0.0
334,0.4269308195653717,4,0,163,167,0.023952095808383235,0.0,1.0,4,0.011976047904191617,ogmc_style_touch,test,0.0
268,0.4009342422016433,20,1,114,133,0.14925373134328357,0.007462686567164179,0.9523809523809523,21,0.07835820895522388,ogmc_style_touch,val,0.01
334,0.4009342422016433,25,1,142,166,0.1497005988023952,0.005988023952095809,0.9615384615384616,26,0.07784431137724551,ogmc_style_touch,test,0.01
268,0.3939340488962957,28,2,106,132,0.208955223880597,0.014925373134328358,0.9333333333333333,30,0.11194029850746269,ogmc_style_touch,val,0.02
334,0.3939340488962957,30,2,137,165,0.17964071856287425,0.011976047904191617,0.9375,32,0.09580838323353294,ogmc_style_touch,test,0.02
268,0.3566732592474823,57,6,77,128,0.4253731343283582,0.04477611940298507,0.9047619047619048,63,0.23507462686567165,ogmc_style_touch,val,0.05
334,0.3566732592474823,66,6,101,161,0.39520958083832336,0.03592814371257485,0.9166666666666666,72,0.2155688622754491,ogmc_style_touch,test,0.05
268,0.3370884110997328,69,13,65,121,0.5149253731343284,0.09701492537313433,0.8414634146341463,82,0.30597014925373134,ogmc_style_touch,val,0.1
334,0.3370884110997328,80,11,87,156,0.47904191616766467,0.0658682634730539,0.8791208791208791,91,0.27245508982035926,ogmc_style_touch,test,0.1
268,0.9701667843463648,16,0,118,134,0.11940298507462686,0.0,1.0,16,0.05970149253731343,geometry_hgb,val,0.0
334,0.9701667843463648,26,0,141,167,0.15568862275449102,0.0,1.0,26,0.07784431137724551,geometry_hgb,test,0.0
268,0.968476211329494,17,1,117,133,0.12686567164179105,0.007462686567164179,0.9444444444444444,18,0.06716417910447761,geometry_hgb,val,0.01
334,0.968476211329494,26,0,141,167,0.15568862275449102,0.0,1.0,26,0.07784431137724551,geometry_hgb,test,0.01
268,0.9597772892284112,24,2,110,132,0.1791044776119403,0.014925373134328358,0.9230769230769231,26,0.09701492537313433,geometry_hgb,val,0.02
334,0.9597772892284112,35,1,132,166,0.20958083832335328,0.005988023952095809,0.9722222222222222,36,0.10778443113772455,geometry_hgb,test,0.02
268,0.9388294139155036,43,6,91,128,0.3208955223880597,0.04477611940298507,0.8775510204081632,49,0.1828358208955224,geometry_hgb,val,0.05
334,0.9388294139155036,63,2,104,165,0.3772455089820359,0.011976047904191617,0.9692307692307692,65,0.19461077844311378,geometry_hgb,test,0.05
268,0.8206093948981623,109,13,25,121,0.8134328358208955,0.09701492537313433,0.8934426229508197,122,0.4552238805970149,geometry_hgb,val,0.1
334,0.8206093948981623,136,8,31,159,0.8143712574850299,0.04790419161676647,0.9444444444444444,144,0.4311377245508982,geometry_hgb,test,0.1
