comparison,metric,median_delta,lo95,hi95,prob_delta_gt_0,prob_delta_lt_0
geometry_hgb-nearest_endpoint,accuracy,0.1225806451612903,0.059523809523809534,0.1707317073170732,1.0,0.0
geometry_hgb-nearest_endpoint,auprc,0.12275952092063858,0.06207586168923385,0.17092485920127432,1.0,0.0
geometry_hgb-nearest_endpoint,auroc,0.04962530029760848,0.024295380680910084,0.07484549638395777,1.0,0.0
geometry_hgb-nearest_endpoint,fpr,-0.03,-0.044444444444444446,-0.012903225806451613,0.0,0.9995
geometry_hgb-nearest_endpoint,precision,0.17626262626262623,0.12623106060606054,0.21258741258741254,1.0,0.0
geometry_hgb-nearest_endpoint,recall,0.21556886227544908,0.08461538461538462,0.3038056244290747,0.9985,0.0
ogmc_style_touch-nearest_endpoint,accuracy,0.11976047904191611,0.0738255033557047,0.1586826347305389,1.0,0.0
ogmc_style_touch-nearest_endpoint,auprc,-0.011133561178010565,-0.061773981076342736,0.03085696677938976,0.3195,0.6805
ogmc_style_touch-nearest_endpoint,auroc,-0.1039729501267963,-0.14875000000000005,-0.06402320798808832,0.0,1.0
ogmc_style_touch-nearest_endpoint,fpr,-0.005917159763313605,-0.02,0.0,0.0,0.689
ogmc_style_touch-nearest_endpoint,precision,0.12254901960784315,0.09109687981510013,0.15614236509758894,1.0,0.0
ogmc_style_touch-nearest_endpoint,recall,0.2323943661971831,0.1342281879194631,0.31736526946107785,1.0,0.0
