model,truth_type,group,n,accepted,rate
geometry,positive_branch,D1,22,3,0.13636363636363635
geometry,positive_branch,D2,8,0,0.0
geometry,positive_branch,IM,11,2,0.18181818181818182
geometry,positive_branch,LAD,11,0,0.0
geometry,positive_branch,LCX,21,3,0.14285714285714285
geometry,positive_branch,LM,1,0,0.0
geometry,positive_branch,OM1,9,0,0.0
geometry,positive_branch,OM2,13,0,0.0
geometry,positive_branch,R-PDA,16,2,0.125
geometry,positive_branch,R-PLA,36,4,0.1111111111111111
geometry,positive_branch,RCA,19,0,0.0
geometry_plus_radial_v1,positive_branch,D1,22,21,0.9545454545454546
geometry_plus_radial_v1,positive_branch,D2,8,8,1.0
geometry_plus_radial_v1,positive_branch,IM,11,9,0.8181818181818182
geometry_plus_radial_v1,positive_branch,LAD,11,7,0.6363636363636364
geometry_plus_radial_v1,positive_branch,LCX,21,18,0.8571428571428571
geometry_plus_radial_v1,positive_branch,LM,1,0,0.0
geometry_plus_radial_v1,positive_branch,OM1,9,9,1.0
geometry_plus_radial_v1,positive_branch,OM2,13,13,1.0
geometry_plus_radial_v1,positive_branch,R-PDA,16,16,1.0
geometry_plus_radial_v1,positive_branch,R-PLA,36,29,0.8055555555555556
geometry_plus_radial_v1,positive_branch,RCA,19,8,0.42105263157894735
geometry_plus_radial_v1,negative_pair,D1|LAD,20,0,0.0
geometry_plus_radial_v1,negative_pair,D2|LAD,20,1,0.05
geometry_plus_radial_v1,negative_pair,IM|LAD,6,0,0.0
geometry_plus_radial_v1,negative_pair,IM|LCX,2,0,0.0
geometry_plus_radial_v1,negative_pair,IM|LM,6,0,0.0
geometry_plus_radial_v1,negative_pair,IM|OM1,2,0,0.0
geometry_plus_radial_v1,negative_pair,LAD|LCX,3,0,0.0
geometry_plus_radial_v1,negative_pair,LAD|LM,18,0,0.0
geometry_plus_radial_v1,negative_pair,LCX|LM,12,0,0.0
geometry_plus_radial_v1,negative_pair,LCX|OM1,24,1,0.041666666666666664
geometry_plus_radial_v1,negative_pair,LCX|OM2,8,0,0.0
geometry_plus_radial_v1,negative_pair,R-PDA|R-PLA,9,0,0.0
geometry_plus_radial_v1,negative_pair,R-PDA|RCA,16,0,0.0
geometry_plus_radial_v1,negative_pair,R-PLA|RCA,21,1,0.047619047619047616
