comparison,metric,median_delta,lo95,hi95,prob_delta_gt_0,prob_delta_lt_0
radial_2p5d-geometry_hgb,recall,0.31137724550898205,0.1548387096774193,0.4719101123595506,1.0,0.0
radial_2p5d-geometry_hgb,fpr,0.03,-0.006369426751592359,0.06701030927835051,0.9187,0.0395
radial_2p5d-geometry_hgb,precision,-0.027731092436974802,-0.08166666666666667,0.03214285714285714,0.1854,0.8073
radial_2p5d-geometry_hgb,accuracy,0.14071856287425144,0.04941860465116288,0.22812500000000002,0.9983,0.0015
radial_2p5d-geometry_hgb,accepted_fraction,0.1693548387096774,0.10067114093959731,0.2471590909090909,1.0,0.0
geometry_plus_radial_2p5d-geometry_hgb,recall,0.44705882352941173,0.32620320855614976,0.6000000000000001,1.0,0.0
geometry_plus_radial_2p5d-geometry_hgb,fpr,0.006060606060606061,-0.012903225806451613,0.02564102564102564,0.6241,0.1838
geometry_plus_radial_2p5d-geometry_hgb,precision,0.009027777777777746,-0.019607843137254943,0.0442723843557673,0.6513,0.3217
geometry_plus_radial_2p5d-geometry_hgb,accuracy,0.2214765100671141,0.15300546448087426,0.29891304347826086,1.0,0.0
geometry_plus_radial_2p5d-geometry_hgb,accepted_fraction,0.2263681592039801,0.1701388888888889,0.30000000000000004,1.0,0.0
geometry_plus_radial_2p5d-radial_2p5d,recall,0.13661202185792354,0.0851063829787233,0.22142857142857142,1.0,0.0
geometry_plus_radial_2p5d-radial_2p5d,fpr,-0.02395209580838323,-0.042682926829268296,-0.005780346820809248,0.0,0.9849
geometry_plus_radial_2p5d-radial_2p5d,precision,0.03610045343564694,0.008064516129032251,0.06547619047619047,0.9849,0.0
geometry_plus_radial_2p5d-radial_2p5d,accuracy,0.08053691275167785,0.05128205128205121,0.12732919254658392,1.0,0.0
geometry_plus_radial_2p5d-radial_2p5d,accepted_fraction,0.05633802816901412,0.02777777777777779,0.09765625,1.0,0.0
radial_2p5d-geometry_hgb,auroc,-0.024201600126543155,-0.07058582127834201,0.019643743083150724,0.178,0.822
radial_2p5d-geometry_hgb,auprc,-0.009019632620739015,-0.05357854479179991,0.041897418162138655,0.37066666666666664,0.6293333333333333
geometry_plus_radial_2p5d-geometry_hgb,auroc,0.01620710674459458,-0.005813754659553361,0.03999653031409795,0.914,0.086
geometry_plus_radial_2p5d-geometry_hgb,auprc,0.023503609660323277,-0.006945289951222122,0.05984420281455605,0.9186666666666666,0.08133333333333333
geometry_plus_radial_2p5d-radial_2p5d,auroc,0.04023942457622853,0.014433076277072387,0.06580904223676398,1.0,0.0
geometry_plus_radial_2p5d-radial_2p5d,auprc,0.03241427996880886,0.012845341624004636,0.049541571010476626,1.0,0.0
