model,metric,median,lo95,hi95
geometry,auroc,0.9360465116279071,0.9182473376600093,0.9607837217727327
geometry,auprc,0.8794542952269738,0.8426820803703747,0.9379649278832337
geometry,recall,0.08383233532934131,0.04375,0.13691964285714278
geometry,fpr,0.017752100840336134,0.0,0.03738442700784646
geometry,precision,0.8333333333333334,0.625,1.0
geometry,accuracy,0.5329341317365269,0.5099009900990099,0.5652173913043478
radial_hu_summary_v1,auroc,0.9440281114417871,0.9047070196311718,0.9812110726643599
radial_hu_summary_v1,auprc,0.9488275831339706,0.9136358077366744,0.9823289304739548
radial_hu_summary_v1,recall,0.6906077348066298,0.5486111111111112,0.7849462365591398
radial_hu_summary_v1,fpr,0.041916167664670656,0.0064516129032258064,0.07926829268292683
radial_hu_summary_v1,precision,0.9426229508196722,0.8863636363636364,0.9904761904761905
radial_hu_summary_v1,accuracy,0.8248407643312102,0.7533783783783784,0.8790344735909252
geometry_plus_radial_v1,auroc,0.9846893040266772,0.9676177250347178,0.99567377022913
geometry_plus_radial_v1,auprc,0.9823208894033341,0.9533260276129727,0.9956630728492462
geometry_plus_radial_v1,recall,0.8297872340425532,0.6973684210526315,0.9217100545037291
geometry_plus_radial_v1,fpr,0.017241379310344827,0.0,0.04430379746835443
geometry_plus_radial_v1,precision,0.9795918367346939,0.9490445859872612,1.0
geometry_plus_radial_v1,accuracy,0.9056603773584906,0.8437383395522388,0.9528795811518325
