n,patients,auroc,auprc,threshold,tp,fp,fn,tn,recall,fpr,precision,accuracy,accepted,coverage,model,scan_id,split
46,1,0.9111531190926276,0.8331380566109332,0.9418564612332644,3,1,20,22,0.13043478260869565,0.043478260869565216,0.75,0.5434782608695652,4,0.08695652173913043,geometry,954,test
48,1,0.9149305555555556,0.8945460985722125,0.9418564612332644,5,0,19,24,0.20833333333333334,0.0,1.0,0.6041666666666666,5,0.10416666666666667,geometry,958,test
78,1,0.9184746877054569,0.8386659843290291,0.9418564612332644,2,2,37,37,0.05128205128205128,0.05128205128205128,0.5,0.5,4,0.05128205128205128,geometry,972,test
68,1,0.9377162629757785,0.9028982260739044,0.9418564612332644,3,0,31,34,0.08823529411764706,0.0,1.0,0.5441176470588235,3,0.04411764705882353,geometry,973,test
32,1,0.984375,0.985702614379085,0.9418564612332644,0,0,16,16,0.0,0.0,0.0,0.5,0,0.0,geometry,980,test
62,1,0.9885535900104058,0.9894131438764363,0.9418564612332644,1,0,30,31,0.03225806451612903,0.0,1.0,0.5161290322580645,1,0.016129032258064516,geometry,984,test
46,1,0.8638941398865785,0.8586109697132628,0.8963120270935124,12,3,11,20,0.5217391304347826,0.13043478260869565,0.8,0.6956521739130435,15,0.32608695652173914,radial_hu_summary_v1,954,test
48,1,0.9895833333333334,0.9904999137336095,0.8963120270935124,21,1,3,23,0.875,0.041666666666666664,0.9545454545454546,0.9166666666666666,22,0.4583333333333333,radial_hu_summary_v1,958,test
78,1,0.89086127547666,0.9219367217083488,0.8963120270935124,29,3,10,36,0.7435897435897436,0.07692307692307693,0.90625,0.8333333333333334,32,0.41025641025641024,radial_hu_summary_v1,972,test
68,1,0.9939446366782007,0.9943320869017465,0.8963120270935124,26,0,8,34,0.7647058823529411,0.0,1.0,0.8823529411764706,26,0.38235294117647056,radial_hu_summary_v1,973,test
32,1,0.9921875,0.9930555555555556,0.8963120270935124,4,0,12,16,0.25,0.0,1.0,0.625,4,0.125,radial_hu_summary_v1,980,test
62,1,0.9760665972944849,0.9818485774393908,0.8963120270935124,23,0,8,31,0.7419354838709677,0.0,1.0,0.8709677419354839,23,0.3709677419354839,radial_hu_summary_v1,984,test
46,1,0.9376181474480152,0.8894988612992676,0.8573873614273606,20,2,3,21,0.8695652173913043,0.08695652173913043,0.9090909090909091,0.8913043478260869,22,0.4782608695652174,geometry_plus_radial_v1,954,test
48,1,1.0,0.9999999999999999,0.8573873614273606,24,0,0,24,1.0,0.0,1.0,1.0,24,0.5,geometry_plus_radial_v1,958,test
78,1,0.9710716633793557,0.9751460534725835,0.8573873614273606,32,1,7,38,0.8205128205128205,0.02564102564102564,0.9696969696969697,0.8974358974358975,33,0.4230769230769231,geometry_plus_radial_v1,972,test
68,1,0.9991349480968859,0.9991596638655462,0.8573873614273606,31,0,3,34,0.9117647058823529,0.0,1.0,0.9558823529411765,31,0.45588235294117646,geometry_plus_radial_v1,973,test
32,1,1.0,1.0,0.8573873614273606,6,0,10,16,0.375,0.0,1.0,0.6875,6,0.1875,geometry_plus_radial_v1,980,test
62,1,0.9947970863683663,0.9946116631553406,0.8573873614273606,25,0,6,31,0.8064516129032258,0.0,1.0,0.9032258064516129,25,0.4032258064516129,geometry_plus_radial_v1,984,test
