n,auroc,auprc,threshold,tp,fp,fn,tn,recall,fpr,precision,accuracy,accepted_fraction,model,split
758,0.9066909865567631,0.8142495257039557,-3.839772012290029,76,17,303,362,0.20052770448548812,0.044854881266490766,0.8172043010752689,0.5778364116094987,0.12269129287598944,nearest_endpoint,train
268,0.9023724660280686,0.804797112631787,-3.839772012290029,21,6,113,128,0.15671641791044777,0.04477611940298507,0.7777777777777778,0.5559701492537313,0.10074626865671642,nearest_endpoint,val
334,0.9188568969844741,0.8341764711054178,-3.839772012290029,27,7,140,160,0.16167664670658682,0.041916167664670656,0.7941176470588235,0.5598802395209581,0.10179640718562874,nearest_endpoint,test
758,0.8303200339735869,0.8428128021066492,0.3566732592474823,162,14,217,365,0.42744063324538256,0.036939313984168866,0.9204545454545454,0.6952506596306068,0.23218997361477572,ogmc_style_touch,train
268,0.8122633103141012,0.8153857303374701,0.3566732592474823,57,6,77,128,0.4253731343283582,0.04477611940298507,0.9047619047619048,0.6902985074626866,0.23507462686567165,ogmc_style_touch,val
334,0.8148373910860914,0.8238532958738503,0.3566732592474823,66,6,101,161,0.39520958083832336,0.03592814371257485,0.9166666666666666,0.6796407185628742,0.2155688622754491,ogmc_style_touch,test
758,0.995711530830334,0.9955808832988153,0.9388294139155036,159,0,220,379,0.41952506596306066,0.0,1.0,0.7097625329815304,0.20976253298153033,geometry_hgb,train
268,0.9343394965471151,0.8985717052122328,0.9388294139155036,43,6,91,128,0.3208955223880597,0.04477611940298507,0.8775510204081632,0.6380597014925373,0.1828358208955224,geometry_hgb,val
334,0.9684821972820826,0.9578377548725879,0.9388294139155036,63,2,104,165,0.3772455089820359,0.011976047904191617,0.9692307692307692,0.6826347305389222,0.19461077844311378,geometry_hgb,test
758,0.9791702926044792,0.9798685152786252,0.8963120270935153,263,4,116,375,0.6939313984168866,0.010554089709762533,0.9850187265917603,0.841688654353562,0.35224274406332456,radial_2p5d,train
268,0.9631877923813766,0.960460405908728,0.8963120270935153,99,6,35,128,0.7388059701492538,0.04477611940298507,0.9428571428571428,0.8470149253731343,0.3917910447761194,radial_2p5d,val
334,0.9440281114417871,0.9488181222518489,0.8963120270935153,115,7,52,160,0.688622754491018,0.041916167664670656,0.9426229508196722,0.8233532934131736,0.3652694610778443,radial_2p5d,test
758,0.9944584067223147,0.9944197357109281,0.8573873614273446,331,4,48,375,0.8733509234828496,0.010554089709762533,0.9880597014925373,0.9313984168865436,0.4419525065963061,geometry_plus_radial_2p5d,train
268,0.9832368010692805,0.9770645382396154,0.8573873614273446,116,6,18,128,0.8656716417910447,0.04477611940298507,0.9508196721311475,0.9104477611940298,0.4552238805970149,geometry_plus_radial_2p5d,val
334,0.9846893040266772,0.9823208894033341,0.8573873614273446,138,3,29,164,0.8263473053892215,0.017964071856287425,0.9787234042553191,0.9041916167664671,0.4221556886227545,geometry_plus_radial_2p5d,test
